127.0.0.1 - - [15/Jul/2018:11:25:32 +0200] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:25:45 +0200] "GET /ShopWEB/register.jsp HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:25:45 +0200] "GET /ShopWEB/register.js HTTP/1.1" 200 2004
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:25:45 +0200] "GET /ShopWEB/register.css HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:26:22 +0200] "GET /ShopWEB/register.jsp HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:26:28 +0200] "GET /ShopWEB/register.js HTTP/1.1" 200 2004
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:26:28 +0200] "GET /ShopWEB/register.css HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:26:35 +0200] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:26:36 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:27:49 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:27:49 +0200] "GET /ShopWEB/register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:27:49 +0200] "GET /ShopWEB/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:27:52 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:27:54 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:28:10 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:28:11 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:28:11 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:28:11 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:28:11 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:28:22 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:28:23 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:28:23 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:28:24 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5519
